Column Name,Description,Data Type,Allowed Values,Data Coding
ho636_,Type of building,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8",-2=Refusal; -1=Don't know; 1=A farm house; 2=A free standing one or two family house; 3=A one or two family house as row or double house; 4=A building with 3 to 8 flats; 5=A building with 9 or more flats but no more than 8 floors; 6=A high-rise with 9 or more floors; 7=A housing complex with services for elderly; 8=A nursing home
ho662_,Has to pay out-of-pocket for nursing home accommodation,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ho665e,Amount paying out-of-pocket for nursing home a typical month,Categorical,"-9999992, -9999991",-9999992=Refusal; -9999991=Don't know
ho665ub,Amount paying out-of-pocket for nursing home a typical month ub,Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7",-2=Refusal; -1=Don't know; 1=Less than low entry point; 2=About low entry point; 3=Between low and mid entry point; 4=About mid entry point; 5=Between mid and high entry point; 6=About high entry point; 7=More than high entry point
ho665v1,Bracket value 1,Numeric,,
ho665v2,Bracket value 2,Numeric,,
ho665v3,Bracket value 3,Numeric,,
ho666d1,Payment nursinghome covers: lodging (room),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho666d2,Payment nursinghome covers: meals,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho666d3,Payment nursinghome covers: nursing/care service,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho666d4,Payment nursinghome covers: rehabilitation/other health services,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho666d5,Payment nursinghome covers: laundry,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho666d6,Payment nursinghome covers: charges and services,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho666d7,Payment nursinghome covers: other expenses,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho666dno,Payment nursinghome covers: none of these,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ho782_,Certified nurse,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
adl,Number of limitations with activities of daily living (adl),Categorical,"-99, -2, -1",-2=Refusal; -1=Don't know; -99=Not applicable
adl2,1+ adl limitations,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=No adl limitations; 1=1+ adl limitations
bmi,Body mass index,Categorical,"-99, -3, -2, -1",-3=Implausible/ suspected wrong; -2=Refusal; -1=Don't know; -99=Not applicable
bmi2,Bmi categories,Categorical,"-3, -2, -1, 1, 2, 3, 4",-3=Implausible/suspected wrong; -2=Refusal; -1=Don't know; 1=Below 18.5 - underweight; 2=18.5-24.9 - normal; 3=25-29.9 - overweight; 4=30 and above - obese
casp,CASP index for quality of life and well-being,Categorical,"-2, -1",-2=Refusal; -1=Don't know
cf008tot,Ten words list learning first trial total,Numeric,,
cf016tot,Ten words list learning delayed recall total,Numeric,,
chronic2w9,2+ chronic diseases (w9 version),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Less than 2 diseases; 1=2+ chronic diseases
chronicw9,Number of chronic diseases (w9 version),Categorical,"-2, -1",-2=Refusal; -1=Don't know
euro1,Depression(part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro2,Pessimism (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro3,Suicidality (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro4,Guilt (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro5,Sleep (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro6,Interest (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro7,Irritability (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro8,Appetite (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro9,Fatigue (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro10,Concentration (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro11,Enjoyment (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
euro12,Tearfulness (part of EURO-D),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
eurod,Depression scale EURO-D - high is depressed,Categorical,"-99, -2, -1, 0, 12",-2=Refusal; -1=Don't know; 0=Not depressed; 12=Very depressed; -99=Not applicable; 0=Not depressed; 12=Very depressed
eurodcat,EURO-D caseness,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=No; 1=Yes
gali,Limitations with activities - gali,Categorical,"-99, -2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not limited; 1=Limited; -99=Not applicable; 0=Not limited; 1=Limited
iadl,Limitations with instrumental activities of daily living (iadl),Categorical,"-99, -2, -1",-2=Refusal; -1=Don't know; -99=Not applicable
iadl2,1+ iadl limitations,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=No iadl limitations; 1=1+ iadl limitations
loneliness,Loneliness (short version of R-UCLA Loneliness Scale) - high is lonely,Categorical,"-2, -1, 3, 9",-2=Refusal; -1=Don't know; 3=Not lonely; 9=Very lonely
maxgrip,Max. of grip strength measure,Categorical,"-99, -2, -1",-2=Refusal; -1=Don't know; -99=Not applicable
mobilit2,"1+ mobility, arm function and fine motor limitations",Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=0; 1=1+
mobilit3,"3+ mobility, arm function and fine motor limitations",Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=0-2 limitations; 1=3+ limitations
mobility,"Mobility, arm function and fine motor limitations",Categorical,"-99, -2, -1",-2=Refusal; -1=Don't know; -99=Not applicable
numeracy,Numeracy score: mathematical performance (percentage),Categorical,"-99, -2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Bad; 5=Good; -99=Not applicable; 1=Bad; 5=Good
numeracy2,Numeracy score 2: mathematical performance (subtraction),Categorical,"-99, -2, -1, 0, 5",-2=Refusal; -1=Don't know; 0=Bad; 5=Good; -99=Not applicable; 0=Bad; 5=Good
orienti,"Orientation to date, month,year and day of week",Categorical,"-2, -1, 0, 4",-2=Refusal; -1=Don't know; 0=Bad; 4=Good; 0=Bad; 4=Good
phactiv,Physical inactivity,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Other; 1=Never vigorous nor moderate physical activity
sphus,Self-perceived health - us version,Categorical,"-99, -2, -1, 1, 2, 3, 4, 5",-2=Refusal; -1=Don't know; 1=Excellent; 2=Very good; 3=Good; 4=Fair; 5=Poor; -99=Not applicable; 1=Excellent; 2=Very good; 3=Good; 4=Fair; 5=Poor
sphus2,Sphus-less than very good health,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Very good/excellent; 1=Less than very good
mh002_,Sad or depressed last month,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
mh003_,Hopes for the future,Categorical,"-2, -1, 1, 2",-2=Refusal; -1=Don't know; 1=Any hopes mentioned; 2=No hopes mentioned
mh004_,Suicidal feelings or wish to be dead,Categorical,"-2, -1, 1, 2",-2=Refusal; -1=Don't know; 1=Any mention of suicidal feelings or wish to be dead; 2=No such feelings
mh005_,Feels guilty,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Obvious excessive guilt or self-blame; 2=No such feelings; 3=Mentions guilt or self-blame but unclear
mh006_,Blame for what,Categorical,"-2, -1, 1, 2",-2=Refusal; -1=Don't know; 1=Example(s) of obvious guilt or self-blame; 2=No example(s) of obvious guilt or self-blame or unclear
mh007_,Trouble sleeping,Categorical,"-2, -1, 1, 2",-2=Refusal; -1=Don't know; 1=Trouble with sleep or recent change in pattern; 2=No trouble sleeping
mh008_,Less or same interest in things,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Less interest than usual mentioned; 2=No mention of loss of interest; 3=Non-specific or uncodeable response
mh009_,Keeps up interest,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
mh010_,Irritability,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
mh011_,Appetite,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Diminution in desire for food; 2=No diminution in desire for food; 3=Non-specific or uncodeable response
mh012_,Eating more or less,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Less; 2=More; 3=Neither more nor less
mh013_,Fatigue,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
mh014_,Concentration on entertainment,Categorical,"-2, -1, 1, 2",-2=Refusal; -1=Don't know; 1=Difficulty in concentrating; 2=No such difficulty mentioned
mh015_,Concentration on reading,Categorical,"-2, -1, 1, 2",-2=Refusal; -1=Don't know; 1=Difficulty in concentrating; 2=No such difficulty mentioned
mh016_,Enjoyment,Categorical,"-2, -1, 1, 2",-2=Refusal; -1=Don't know; 1=Fails to mention any enjoyable activity; 2=Mentions any enjoyment from activity
mh017_,Tearfulness,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
mh032_,End non proxy,Categorical,"-2, -1, 1, 2",-2=Refusal; -1=Don't know; 1=Respondent; 2=Section not answered (proxy interview)
mh034_,Feels lack of companionship,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Often; 2=Some of the time; 3=Hardly ever or never
mh035_,Feels left out,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Often; 2=Some of the time; 3=Hardly ever or never
mh036_,Feels isolated from others,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Often; 2=Some of the time; 3=Hardly ever or never
mh037_,Feels lonely,Categorical,"-2, -1, 1, 2, 3",-2=Refusal; -1=Don't know; 1=Often; 2=Some of the time; 3=Hardly ever or never
ph003_,Health in general question 2,Categorical,"-2, -1, 1, 2, 3, 4, 5",-2=Refusal; -1=Don't know; 1=Excellent; 2=Very good; 3=Good; 4=Fair; 5=Poor
ph004_,Long-term illness,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ph005_,Limited in activities because of health,Categorical,"-2, -1, 1, 2, 3","-2=Refusal; -1=Don't know; 1=Severely limited; 2=Limited, but not severely; 3=Not limited"
ph006d1,Heart attack: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d2,High blood pressure or hypertension: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d3,High blood cholesterol: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d4,Stroke: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d5,Diabetes or high blood sugar: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d6,Chronic lung disease: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d10,Cancer: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d11,"Stomach or duodenal ulcer, peptic ulcer: ever diagnosed/currently having",Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d12,Parkinson disease: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d13,Cataracts: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d14,Hip fracture or femoral fracture: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d15,Other fractures: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d16,"Alzheimer's disease, dementia, senility: ever diagnosed/currently having",Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d18,Other affective/emotional disorders: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d19,Rheumatoid arthritis: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d20,Osteoarthritis/other rheumatism: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006d21,Chronic kidney disease: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006dno,None: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph006dot,Other: ever diagnosed/currently having,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d1,Cancer in: brain,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d2,Cancer in: oral cavity,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d3,Cancer in: larynx,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d4,Cancer in: other pharynx,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d5,Cancer in: thyroid,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d6,Cancer in: lung,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d7,Cancer in: breast,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d8,Cancer in: oesophagus,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d9,Cancer in: stomach,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d10,Cancer in: liver,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d11,Cancer in: pancreas,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d12,Cancer in: kidney,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d13,Cancer in: prostate,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d14,Cancer in: testicle,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d15,Cancer in: ovary,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d16,Cancer in: cervix,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d17,Cancer in: endometrium,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d18,Cancer in: colon or rectum,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d19,Cancer in: bladder,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d20,Cancer in: skin,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d21,Cancer in: non-hodgkin lymphoma,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008d22,Cancer in: leukaemia,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph008dot,Cancer in: other organ,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph009_1,Age heart attack or other heart problems,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_2,Age high blood pressure,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_3,Age high blood cholesterol,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_4,Age stroke or cerebral vascular disease,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_5,Age diabetes,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_6,Age chronic lung disease,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_10,Age cancer or malignant tumour,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_11,"Age stomach, duodenal or peptic ulcer",Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_12,Age parkinson disease,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_13,Age cataracts,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_14,Age hip or femoral fracture,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_15,Age other fractures,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_16,Age alzheimer's disease,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_18,Age affective or emotional disorders,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_19,Age rheumatoid arthritis,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_20,"Age osteoarthritis, or other rheumatism",Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_21,Age chronic kidney disease,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph009_other,Age other condition,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph011d1,Drugs for: high blood cholesterol,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d2,Drugs for: high blood pressure,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d3,Drugs for: coronary diseases,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d4,Drugs for: other heart diseases,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d6,Drugs for: diabetes,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d7,Drugs for: joint pain,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d8,Drugs for: other pain,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d9,Drugs for: sleep problems,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d10,Drugs for: anxiety or depression,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d11,Drugs for: osteoporosis,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d13,Drugs for: stomach burns,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d14,Drugs for: chronic bronchitis,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011d15,Drugs for: suppressing inflammation (only glucocorticoids or steroids),Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011dno,Drugs for: none,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph011dot,Drugs for: other,Categorical,"-2, -1, 0, 1",-2=Refusal; -1=Don't know; 0=Not selected; 1=Selected
ph012_,Weight of respondent,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph013_,How tall are you?,Categorical,"-2, -1",-2=Refusal; -1=Don't know
ph041_,Wears glasses/contact lenses,Categorical,"-2, -1, 1, 5",-2=Refusal; -1=Don't know; 1=Yes; 5=No
ph043_,Eyesight distance,Categorical,"-2, -1, 1, 2, 3, 4, 5",-2=Refusal; -1=Don't know; 1=Excellent; 2=Very good; 3=Good; 4=Fair; 5=Poor
